gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3418863189	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus	Lepus europaeus		SPECIES	Lepus europaeus Pallas, 1778	Lepus europaeus Pallas, 1778		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	47.812693	16.823587							2014-11-05T00:00:00	5	11	2014	7952072	7952072	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:1374				CC_BY_4_0					2023-01-25T09:13:42.056Z		CONTINENT_DERIVED_FROM_COORDINATES
3418863188	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Squamata		Anguidae	Anguis	Anguis fragilis		SPECIES	Anguis fragilis Linnaeus, 1758	Anguis fragilis Linnaeus, 1758		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	48.437202	14.781225							2014-10-19T00:00:00	19	10	2014	2468095	2468095	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:1357				CC_BY_4_0					2023-01-25T09:13:42.057Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863187	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Mammalia	Erinaceomorpha	Erinaceidae	Erinaceus			GENUS	Erinaceus Linnaeus, 1758	Erinaceus Linnaeus, 1758		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	48.393432	16.105826							2019-04-24T00:00:00	24	4	2019	8216553		OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:91379				CC_BY_4_0					2023-01-25T09:13:42.055Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863186	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	Bufo bufo		SPECIES	Bufo bufo (Linnaeus, 1758)	Bufo bufo Linnaeus, 1758		DE	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	53.411902	10.384055							2019-08-29T00:00:00	29	8	2019	5217160	5217160	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:190333				CC_BY_4_0					2023-01-25T09:13:42.056Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863185	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Amphibia	Anura					ORDER	Anura	Anura Fischer von Waldheim, 1813		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	48.219994	16.451928							2014-11-04T00:00:00	4	11	2014	952		OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:1372				CC_BY_4_0					2023-01-25T09:13:42.056Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863184	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	Mustela erminea		SPECIES	Mustela erminea Linnaeus, 1758	Mustela erminea Linnaeus, 1758		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	48.526234	15.437921							2016-07-25T00:00:00	25	7	2016	5219019	5219019	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:13888				CC_BY_4_0					2023-01-25T09:13:42.056Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863183	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Sciurus	Sciurus carolinensis		SPECIES	Sciurus carolinensis Gmelin, 1788	Sciurus carolinensis Gmelin, 1788		CA	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	45.076872	-67.045864							2017-12-05T00:00:00	5	12	2017	5219681	5219681	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:23209				CC_BY_4_0					2023-01-25T09:13:42.056Z		CONTINENT_DERIVED_FROM_COORDINATES
3418863182	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus	Lepus europaeus		SPECIES	Lepus europaeus Pallas, 1778	Lepus europaeus Pallas, 1778		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	47.782943	16.81097							2014-11-04T00:00:00	4	11	2014	7952072	7952072	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:1369				CC_BY_4_0					2023-01-25T09:13:42.055Z		CONTINENT_DERIVED_FROM_COORDINATES
3418863181	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Aves	Passeriformes	Turdidae	Turdus	Turdus merula		SPECIES	Turdus merula Linnaeus, 1758	Turdus merula Linnaeus, 1758		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	47.881116	16.119278							2016-07-24T00:00:00	24	7	2016	2490719	2490719	OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:13884		Norbert Teufelbauer (BirdLife Austria)		CC_BY_4_0					2023-01-25T09:13:42.056Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES
3418863180	d0d5ef85-71b2-4da6-b6f6-c1c3d60987d3		Animalia	Chordata	Aves						CLASS	Aves	Aves Linnaeus, 1758		AT	see site coordinates		PRESENT		cec55b6c-5728-473a-b1b5-f045b3f494f6	48.2068	16.359938							2014-11-03T00:00:00	3	11	2014	212		OBSERVATION	BOKU	Roadkill	boku:spotteron:roadkill:id:1366				CC_BY_4_0					2023-01-25T09:13:42.055Z		CONTINENT_DERIVED_FROM_COORDINATES
